,Item,Price,Other_Info,Location,Store
171,Harris Teeter Tomato Sauce,0.49,8 oz  | $0.06/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
172,Harris Teeter Ground Beef Chuck,3.99,1 lb (avg.)  | $3.99/lb,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
173,Harris Teeter Fancy Shredded 4 Cheese Blend Mexican Cheese,3.39,8 oz  | $0.42/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
174,Harris Teeter Nonfat Plain Yogurt,1.99,32 oz  | $0.06/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
175,"Harris Teeter Cereal, Corn Flakes",1.49,18 oz  | $0.08/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
176,Harris Teeter 3.25% Milk Fat Whole Milk,4.19,1 gallon  | $4.19/gallon,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
177,Harris Teeter Grade A Extra Large White Eggs,3.19,18 each  | $0.18,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
178,"Thomas' Plain Bagel Thins, 110 Calories, 8 count,",4.49,13 oz  | $0.35/oz,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
179,Harris Teeter Old Fashioned Bread,1.59,20 oz  | $0.08/oz,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
180,Harris Teeter Penne Rigate,0.99,16 oz  | $0.06/oz,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
181,Fresh Gala Apple,1.56,10 oz (avg.)  | $2.49/lb,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
182,Plainville Farms 94% Ground Turkey - Antibiotic Free,6.49,16 oz  | $0.41/oz,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
183,Oscar Mayer Honey Ham,4.39,9 oz | $0.49/oz,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
184,"Harris Teeter Butter, with Olive Oil, Spreadable",3.49,15 oz  | $0.23/oz,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
185,Harris Teeter Russet Potatoes,3.99,5 lb  | $0.80/lb,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
186,Fresh Navel Orange - Large,0.89,1 ct  | $0.89/each,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
187,Harris Teeter Tomato Sauce,0.49,8 oz  | $0.06/oz,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
188,Harris Teeter Ground Beef Chuck,3.99,1 lb (avg.)  | $3.99/lb,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
189,Harris Teeter Fancy Shredded 4 Cheese Blend Mexican Cheese,3.39,8 oz  | $0.42/oz,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
190,Harris Teeter Nonfat Plain Yogurt,1.99,32 oz  | $0.06/oz,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
191,"Harris Teeter Cereal, Corn Flakes",1.49,18 oz  | $0.08/oz,"4250 Campbell Ave
Arlington VA, 22206
(703) 379-2003
Store Hours: 6am-11pm
Details >",Harris Teeter
192,Harris Teeter 3.25% Milk Fat Whole Milk,4.19,1 gallon  | $4.19/gallon,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
193,Harris Teeter Grade A Large White Eggs,1.99,12 each  | $0.17,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
194,"Thomas' Plain Bagel Thins, 110 Calories, 8 count,",4.49,13 oz  | $0.35/oz,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
195,Harris Teeter Old Fashioned Bread,1.59,20 oz  | $0.08/oz,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
196,Harris Teeter Penne Rigate,0.99,16 oz  | $0.06/oz,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
197,Fresh Gala Apple,1.56,10 oz (avg.)  | $2.49/lb,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
198,Plainville Farms 94% Ground Turkey - Antibiotic Free,6.49,16 oz  | $0.41/oz,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
199,Oscar Mayer Honey Ham,4.39,9 oz | $0.49/oz,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
200,"Harris Teeter Butter, with Olive Oil, Spreadable",3.49,15 oz  | $0.23/oz,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
201,Harris Teeter Russet Potatoes,3.99,5 lb  | $0.80/lb,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
202,Fresh Navel Orange - Large,0.89,1 ct  | $0.89/each,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
203,Harris Teeter Tomato Sauce,0.49,8 oz  | $0.06/oz,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
204,Harris Teeter Ground Beef Chuck,3.99,1 lb (avg.)  | $3.99/lb,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
205,Harris Teeter Fancy Shredded Mozzarella Cheese,3.39,8 oz  | $0.42/oz,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
206,Harris Teeter Nonfat Plain Yogurt,1.99,32 oz  | $0.06/oz,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
207,"Harris Teeter Cereal, Corn Flakes",1.49,18 oz  | $0.08/oz,"4550 King Street
Alexandria VA, 22302
(571) 895-2820
Store Hours: 6am-11pm (Grand Opening: 06/23/2021)
Details >",Harris Teeter
208,Harris Teeter 3.25% Milk Fat Whole Milk,4.19,1 gallon  | $4.19/gallon,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
209,Harris Teeter Grade A Large White Eggs,1.99,12 each  | $0.17,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
210,"Thomas' Plain Bagel Thins, 110 Calories, 8 count,",4.49,13 oz  | $0.35/oz,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
211,Harris Teeter Old Fashioned Bread,1.59,20 oz  | $0.08/oz,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
212,Harris Teeter Penne Rigate,0.99,16 oz  | $0.06/oz,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
213,Fresh Gala Apple,1.56,10 oz (avg.)  | $2.49/lb,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
214,Plainville Farms 94% Ground Turkey - Antibiotic Free,6.49,16 oz  | $0.41/oz,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
215,Oscar Mayer Honey Ham,4.39,9 oz | $0.49/oz,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
216,"Harris Teeter Butter, with Olive Oil, Spreadable",3.49,15 oz  | $0.23/oz,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
217,Harris Teeter Russet Potatoes,3.99,5 lb  | $0.80/lb,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
218,Fresh Navel Orange - Large,0.89,1 ct  | $0.89/each,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
219,Harris Teeter Tomato Sauce,0.49,8 oz  | $0.06/oz,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
220,Harris Teeter Ground Beef Chuck,3.99,1 lb (avg.)  | $3.99/lb,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
221,Harris Teeter Fancy Shredded 4 Cheese Blend Mexican Cheese,3.39,8 oz  | $0.42/oz,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
222,Harris Teeter Nonfat Plain Yogurt,1.99,32 oz  | $0.06/oz,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
223,"Harris Teeter Cereal, Corn Flakes",1.49,18 oz  | $0.08/oz,"954 South George Mason
Arlington VA, 22204
(571) 384-1610
Store Hours: 6am-11pm
Details >",Harris Teeter
224,Value Corner Whole Milk - 1 Gallon,2.99,($0.02 / Fl.oz),"1100 4th St SW
Washington, DC 20024",Safeway
225,Lucerne Farms Eggs Large - 12 Count,1.99,($0.17 / Count),"1100 4th St SW
Washington, DC 20024",Safeway
226,Old Tyme Plain Bagels - 20 OZ,2.0,($0.10 / Ounce),"1100 4th St SW
Washington, DC 20024",Safeway
227,Signature SELECT Bread White - 20 Oz,0.99,($0.05 / Ounce),"1100 4th St SW
Washington, DC 20024",Safeway
228,Signature SELECT Pasta Penne Rigate Box - 16 Oz,0.99,($0.06 / Ounce),"1100 4th St SW
Washington, DC 20024",Safeway
229,Large Gala Apple,1.25,($2.49 / Lb),"1100 4th St SW
Washington, DC 20024",Safeway
230,Signature Farms Turkey Ground - 16 Oz,5.99,($0.37 / Ounce),"1100 4th St SW
Washington, DC 20024",Safeway
231,Signature Select Ham Cooked Water Added 95% Fat Free - 16 Oz,5.99,($0.43 / Ounce),"1100 4th St SW
Washington, DC 20024",Safeway
232,Value Corner Butter Pasteurized - 16 Oz,3.49,($0.22 / Ounce),"1100 4th St SW
Washington, DC 20024",Safeway
233,Russet Potatoes - 5 Lb,3.99,($0.80 / Lb),"1100 4th St SW
Washington, DC 20024",Safeway
234,Navel Orange Large,1.5,($1.50 / Each),"1100 4th St SW
Washington, DC 20024",Safeway
235,Signature SELECT Tomato Sauce - 8 Oz,0.5,($0.06 / Ounce),"1100 4th St SW
Washington, DC 20024",Safeway
236,Dog Chow Dog Food Wet High Pro... assic Ground - 13 Oz,1.25,($0.10 / Ounce),"1100 4th St SW
Washington, DC 20024",Safeway
237,Lucerne Cheese Shredded Low-Mo... im Mozzarella - 8 Oz,1.99,($0.25 / Ounce),"1100 4th St SW
Washington, DC 20024",Safeway
238,Lucerne Yogurt Lowfat Vanilla Flavored - 32 Oz,2.5,($0.08 / Ounce),"1100 4th St SW
Washington, DC 20024",Safeway
239,Signature SELECT Cereal Corn Flakes - 18 Oz,2.19,($0.12 / Ounce),"1100 4th St SW
Washington, DC 20024",Safeway
240,Value Corner Whole Milk - 1 Gallon,2.99,($0.02 / Fl.oz),"12 W Washington St
Middleburg, VA 20117",Safeway
241,Lucerne Farms Eggs Large - 12 Count,1.99,($0.17 / Count),"12 W Washington St
Middleburg, VA 20117",Safeway
242,Fresh Baked Plain Bagels - 6 Count,3.99,($3.99 / Each),"12 W Washington St
Middleburg, VA 20117",Safeway
243,Signature SELECT Bread White - 20 Oz,0.99,($0.05 / Ounce),"12 W Washington St
Middleburg, VA 20117",Safeway
244,Signature SELECT Pasta Penne Rigate Box - 16 Oz,0.99,($0.06 / Ounce),"12 W Washington St
Middleburg, VA 20117",Safeway
245,Large Gala Apple,1.25,($2.49 / Lb),"12 W Washington St
Middleburg, VA 20117",Safeway
246,Signature Farms Turkey Ground - 16 Oz,5.99,($0.37 / Ounce),"12 W Washington St
Middleburg, VA 20117",Safeway
247,Signature Select Ham Cooked Water Added 95% Fat Free - 16 Oz,5.99,($0.43 / Ounce),"12 W Washington St
Middleburg, VA 20117",Safeway
248,Value Corner Butter Pasteurized - 16 Oz,3.49,($0.22 / Ounce),"12 W Washington St
Middleburg, VA 20117",Safeway
249,Russet Potatoes - 5 Lb,3.99,($0.80 / Lb),"12 W Washington St
Middleburg, VA 20117",Safeway
250,Navel Orange Large,1.5,($1.50 / Each),"12 W Washington St
Middleburg, VA 20117",Safeway
251,Signature SELECT Tomato Sauce - 8 Oz,0.5,($0.06 / Ounce),"12 W Washington St
Middleburg, VA 20117",Safeway
252,Dog Chow Dog Food Wet High Pro... assic Ground - 13 Oz,1.25,($0.10 / Ounce),"12 W Washington St
Middleburg, VA 20117",Safeway
253,Lucerne Cheese Shredded Low-Mo... im Mozzarella - 8 Oz,2.5,($0.31 / Ounce),"12 W Washington St
Middleburg, VA 20117",Safeway
254,Lucerne Yogurt Lowfat Vanilla Flavored - 32 Oz,2.5,($0.08 / Ounce),"12 W Washington St
Middleburg, VA 20117",Safeway
255,Signature SELECT Cereal Corn Flakes - 18 Oz,2.19,($0.12 / Ounce),"12 W Washington St
Middleburg, VA 20117",Safeway
256,Value Corner Whole Milk - 1 Gallon,2.99,($0.02 / Fl.oz),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
257,Lucerne Farms Eggs Large - 12 Count,1.99,($0.17 / Count),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
258,Old Tyme Plain Bagels - 20 OZ,2.0,($0.10 / Ounce),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
259,Signature SELECT Bread White - 20 Oz,0.99,($0.05 / Ounce),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
260,Signature SELECT Pasta Penne Rigate Box - 16 Oz,0.99,($0.06 / Ounce),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
261,Large Gala Apple,1.25,($2.49 / Lb),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
262,Signature Farms Turkey Ground - 16 Oz,5.99,($0.37 / Ounce),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
263,Signature Select Ham Cooked Water Added 95% Fat Free - 16 Oz,5.99,($0.43 / Ounce),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
264,Value Corner Butter Pasteurized - 16 Oz,3.49,($0.22 / Ounce),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
265,Russet Potatoes - 5 Lb,3.99,($0.80 / Lb),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
266,Navel Orange Large,1.5,($1.50 / Each),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
267,Signature SELECT Tomato Sauce - 8 Oz,0.5,($0.06 / Ounce),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
268,Dog Chow Dog Food Wet High Pro... assic Ground - 13 Oz,1.25,($0.10 / Ounce),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
269,Lucerne Cheese Shredded Low-Mo... im Mozzarella - 8 Oz,1.99,($0.25 / Ounce),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
270,Lucerne Yogurt Lowfat Vanilla Flavored - 32 Oz,2.5,($0.08 / Ounce),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
271,Signature SELECT Cereal Corn Flakes - 18 Oz,2.19,($0.12 / Ounce),"1525 Wilson Blvd
Arlington, VA 22209",Safeway
272,Value Corner Whole Milk - 1 Gallon,2.99,($0.02 / Fl.oz),"2500 N Harrison St
Arlington, VA 22207",Safeway
273,Lucerne Farms Eggs Large - 12 Count,1.99,($0.17 / Count),"2500 N Harrison St
Arlington, VA 22207",Safeway
274,Old Tyme Plain Bagels - 20 OZ,2.0,($0.10 / Ounce),"2500 N Harrison St
Arlington, VA 22207",Safeway
275,Signature SELECT Bread White - 20 Oz,0.99,($0.05 / Ounce),"2500 N Harrison St
Arlington, VA 22207",Safeway
276,Signature SELECT Pasta Penne Rigate Box - 16 Oz,0.99,($0.06 / Ounce),"2500 N Harrison St
Arlington, VA 22207",Safeway
277,Large Gala Apple,1.25,($2.49 / Lb),"2500 N Harrison St
Arlington, VA 22207",Safeway
278,Signature Farms Turkey Ground - 16 Oz,5.99,($0.37 / Ounce),"2500 N Harrison St
Arlington, VA 22207",Safeway
279,Signature Select Ham Cooked Water Added 95% Fat Free - 16 Oz,5.99,($0.43 / Ounce),"2500 N Harrison St
Arlington, VA 22207",Safeway
280,Value Corner Butter Pasteurized - 16 Oz,3.49,($0.22 / Ounce),"2500 N Harrison St
Arlington, VA 22207",Safeway
281,Russet Potatoes - 5 Lb,3.99,($0.80 / Lb),"2500 N Harrison St
Arlington, VA 22207",Safeway
282,Navel Orange Large,1.5,($1.50 / Each),"2500 N Harrison St
Arlington, VA 22207",Safeway
283,Signature SELECT Tomato Sauce - 8 Oz,0.5,($0.06 / Ounce),"2500 N Harrison St
Arlington, VA 22207",Safeway
284,Dog Chow Dog Food Wet High Pro... assic Ground - 13 Oz,1.25,($0.10 / Ounce),"2500 N Harrison St
Arlington, VA 22207",Safeway
285,Lucerne Cheese Shredded Low-Mo... im Mozzarella - 8 Oz,1.99,($0.25 / Ounce),"2500 N Harrison St
Arlington, VA 22207",Safeway
286,Lucerne Yogurt Lowfat Vanilla Flavored - 32 Oz,2.5,($0.08 / Ounce),"2500 N Harrison St
Arlington, VA 22207",Safeway
287,Signature SELECT Cereal Corn Flakes - 18 Oz,2.19,($0.12 / Ounce),"2500 N Harrison St
Arlington, VA 22207",Safeway
288,Value Corner Whole Milk - 1 Gallon,2.99,($0.02 / Fl.oz),"3526 King St
Alexandria, VA 22302",Safeway
289,Lucerne Farms Eggs Large - 12 Count,1.99,($0.17 / Count),"3526 King St
Alexandria, VA 22302",Safeway
290,Old Tyme Plain Bagels - 20 OZ,2.0,($0.10 / Ounce),"3526 King St
Alexandria, VA 22302",Safeway
291,Signature SELECT Bread White - 20 Oz,0.99,($0.05 / Ounce),"3526 King St
Alexandria, VA 22302",Safeway
292,Signature SELECT Pasta Penne Rigate Box - 16 Oz,0.99,($0.06 / Ounce),"3526 King St
Alexandria, VA 22302",Safeway
293,Large Gala Apple,1.25,($2.49 / Lb),"3526 King St
Alexandria, VA 22302",Safeway
294,Signature Farms Turkey Ground - 16 Oz,5.99,($0.37 / Ounce),"3526 King St
Alexandria, VA 22302",Safeway
295,Signature Select Ham Cooked Water Added 95% Fat Free - 16 Oz,5.99,($0.43 / Ounce),"3526 King St
Alexandria, VA 22302",Safeway
296,Value Corner Butter Pasteurized - 16 Oz,3.49,($0.22 / Ounce),"3526 King St
Alexandria, VA 22302",Safeway
297,Russet Potatoes - 5 Lb,3.99,($0.80 / Lb),"3526 King St
Alexandria, VA 22302",Safeway
298,Navel Orange Large,1.5,($1.50 / Each),"3526 King St
Alexandria, VA 22302",Safeway
299,Signature SELECT Tomato Sauce - 8 Oz,0.5,($0.06 / Ounce),"3526 King St
Alexandria, VA 22302",Safeway
300,Dog Chow Dog Food Wet High Pro... assic Ground - 13 Oz,1.25,($0.10 / Ounce),"3526 King St
Alexandria, VA 22302",Safeway
301,Lucerne Cheese Shredded Low-Mo... im Mozzarella - 8 Oz,1.99,($0.25 / Ounce),"3526 King St
Alexandria, VA 22302",Safeway
302,Lucerne Yogurt Lowfat Vanilla Flavored - 32 Oz,2.5,($0.08 / Ounce),"3526 King St
Alexandria, VA 22302",Safeway
303,Signature SELECT Cereal Corn Flakes - 18 Oz,2.19,($0.12 / Ounce),"3526 King St
Alexandria, VA 22302",Safeway
304,Value Corner Whole Milk - 1 Gallon,2.99,($0.02 / Fl.oz),"3713 Lee Hwy
Arlington, VA 22207",Safeway
305,Lucerne Farms Eggs Large - 12 Count,1.99,($0.17 / Count),"3713 Lee Hwy
Arlington, VA 22207",Safeway
306,Old Tyme Plain Bagels - 20 OZ,2.0,($0.10 / Ounce),"3713 Lee Hwy
Arlington, VA 22207",Safeway
307,Signature SELECT Bread White - 20 Oz,0.99,($0.05 / Ounce),"3713 Lee Hwy
Arlington, VA 22207",Safeway
308,Signature SELECT Pasta Penne Rigate Box - 16 Oz,0.99,($0.06 / Ounce),"3713 Lee Hwy
Arlington, VA 22207",Safeway
309,Large Gala Apple,1.25,($2.49 / Lb),"3713 Lee Hwy
Arlington, VA 22207",Safeway
310,Signature Farms Turkey Ground - 16 Oz,5.99,($0.37 / Ounce),"3713 Lee Hwy
Arlington, VA 22207",Safeway
311,Signature Select Ham Cooked Water Added 95% Fat Free - 16 Oz,5.99,($0.43 / Ounce),"3713 Lee Hwy
Arlington, VA 22207",Safeway
312,Value Corner Butter Pasteurized - 16 Oz,3.49,($0.22 / Ounce),"3713 Lee Hwy
Arlington, VA 22207",Safeway
313,Russet Potatoes - 5 Lb,3.99,($0.80 / Lb),"3713 Lee Hwy
Arlington, VA 22207",Safeway
314,Navel Orange Large,1.5,($1.50 / Each),"3713 Lee Hwy
Arlington, VA 22207",Safeway
315,Signature SELECT Tomato Sauce - 8 Oz,0.5,($0.06 / Ounce),"3713 Lee Hwy
Arlington, VA 22207",Safeway
316,Dog Chow Dog Food Wet High Pro... assic Ground - 13 Oz,1.25,($0.10 / Ounce),"3713 Lee Hwy
Arlington, VA 22207",Safeway
317,Lucerne Cheese Shredded Low-Mo... im Mozzarella - 8 Oz,1.99,($0.25 / Ounce),"3713 Lee Hwy
Arlington, VA 22207",Safeway
318,Lucerne Yogurt Lowfat Vanilla Flavored - 32 Oz,2.5,($0.08 / Ounce),"3713 Lee Hwy
Arlington, VA 22207",Safeway
319,Signature SELECT Cereal Corn Flakes - 18 Oz,2.19,($0.12 / Ounce),"3713 Lee Hwy
Arlington, VA 22207",Safeway
320,Value Corner Whole Milk - 1 Gallon,2.99,($0.02 / Fl.oz),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
321,Lucerne Farms Eggs Large - 12 Count,1.99,($0.17 / Count),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
322,Old Tyme Plain Bagels - 20 OZ,2.0,($0.10 / Ounce),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
323,Signature SELECT Bread White - 20 Oz,0.99,($0.05 / Ounce),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
324,Signature SELECT Pasta Penne Rigate Box - 16 Oz,0.99,($0.06 / Ounce),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
325,Large Gala Apple,1.25,($2.49 / Lb),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
326,Signature Farms Turkey Ground - 16 Oz,5.99,($0.37 / Ounce),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
327,Signature Select Ham Cooked Water Added 95% Fat Free - 16 Oz,5.99,($0.43 / Ounce),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
328,Value Corner Butter Pasteurized - 16 Oz,3.49,($0.22 / Ounce),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
329,Russet Potatoes - 5 Lb,3.99,($0.80 / Lb),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
330,Navel Orange Large,1.5,($1.50 / Each),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
331,Signature SELECT Tomato Sauce - 8 Oz,0.5,($0.06 / Ounce),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
332,Dog Chow Dog Food Wet High Pro... assic Ground - 13 Oz,1.25,($0.10 / Ounce),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
333,Lucerne Cheese Shredded Low-Mo... im Mozzarella - 8 Oz,1.99,($0.25 / Ounce),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
334,Lucerne Yogurt Lowfat Vanilla Flavored - 32 Oz,2.5,($0.08 / Ounce),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
335,Signature SELECT Cereal Corn Flakes - 18 Oz,2.19,($0.12 / Ounce),"5101 Wilson Blvd
Arlington, VA 22205",Safeway
336,Value Corner Whole Milk - 1 Gallon,2.99,($0.02 / Fl.oz),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
337,Lucerne Farms Eggs Large - 12 Count,1.99,($0.17 / Count),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
338,Old Tyme Plain Bagels - 20 OZ,2.0,($0.10 / Ounce),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
339,Signature SELECT Bread White - 20 Oz,0.99,($0.05 / Ounce),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
340,Signature SELECT Pasta Penne Rigate Box - 16 Oz,0.99,($0.06 / Ounce),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
341,Large Gala Apple,1.25,($2.49 / Lb),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
342,Signature Farms Turkey Ground - 16 Oz,5.99,($0.37 / Ounce),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
343,Signature Select Ham Cooked Water Added 95% Fat Free - 16 Oz,5.99,($0.43 / Ounce),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
344,Value Corner Butter Pasteurized - 16 Oz,3.49,($0.22 / Ounce),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
345,Russet Potatoes - 5 Lb,3.99,($0.80 / Lb),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
346,Navel Orange Large,1.5,($1.50 / Each),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
347,Signature SELECT Tomato Sauce - 8 Oz,0.5,($0.06 / Ounce),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
348,Dog Chow Dog Food Wet High Pro... assic Ground - 13 Oz,1.25,($0.10 / Ounce),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
349,Lucerne Cheese Shredded Low-Mo... im Mozzarella - 8 Oz,1.99,($0.25 / Ounce),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
350,Lucerne Yogurt Lowfat Vanilla Flavored - 32 Oz,2.5,($0.08 / Ounce),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
351,Signature SELECT Cereal Corn Flakes - 18 Oz,2.19,($0.12 / Ounce),"6118 Arlington Blvd
Falls Church, VA 22044",Safeway
352,Califia Farms Toasted Coconut Almondmilk,3.85,48 fl oz ,155 Hillwood Avenue,Aldi
