,Item,Price,Other_Info,Location,Store
22,Old El Paso Green Chiles Chopped Mild,1.99,7 oz can | $0.28 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
23,Jalapeno Peppers,0.19,1 ea | $0.19 / ea,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
24,Hanover Garbanzo Beans Chick Peas,0.99,7.75 oz can | $0.13 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
25,Masa Brosa Instant Corn Masa,2.59,4 lb bag | $0.04 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
26,Giant Mixed Fruit Large Fresh,5.99,apx 1 lb | $5.99 / lb,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
27,Bell Peppers Green,0.88,1 ea | $0.88 / ea,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
28,Glory Foods Pinto Beans Southern Style Seasoned,1.59,15 oz can | $0.11 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
29,Giant White Rice Long Grain Enriched,11.29,20 lb bag | $0.04 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
30,Pace Chunky Salsa Medium,3.59,24 oz jar | $0.15 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
31,Zucchini Squash,1.66,1 ea | $1.66 / ea,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
32,Tomatillos,0.37,1 ea | $0.37 / ea,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
33,Tomatoes on the Vine,0.67,1 ea | $0.67 / ea,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
34,Avocados Hass,1.25,1 ea | $1.25 / ea,"3115 Lee Hwy., Arlington, VA 22201",Giant
35,Giant Beets Sliced No Salt Added,1.49,15 oz jar | $0.10 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
36,Nature's Promise Organic Black Beans Low Sodium,0.99,15.5 oz can | $0.06 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
37,Giant 4 Cheese Mexican Blend Finely Shredded Natural,2.0,8 oz bag | $4.00 / lb,"3115 Lee Hwy., Arlington, VA 22201",Giant
38,Giant Tortilla Chips Restaurant Style 100% White Corn,2.49,13 oz bag | $0.19 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
39,Old El Paso Green Chiles Chopped Mild,1.99,7 oz can | $0.28 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
40,Jalapeno Peppers,0.19,1 ea | $0.19 / ea,"3115 Lee Hwy., Arlington, VA 22201",Giant
41,Goya Garbanzos Beans Chick Peas Low Sodium,1.0,15.5 oz can | $0.06 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
42,Masa Brosa Instant Corn Masa,2.59,4 lb bag | $0.04 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
43,Giant Mixed Fruit Large Fresh,5.99,apx 1 lb | $5.99 / lb,"3115 Lee Hwy., Arlington, VA 22201",Giant
44,Bell Peppers Green,0.88,1 ea | $0.88 / ea,"3115 Lee Hwy., Arlington, VA 22201",Giant
45,Goya Prime Premium Pinto Beans,1.0,15.5 oz can | $0.06 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
46,Giant White Rice Long Grain Enriched,11.29,20 lb bag | $0.04 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
47,Pace Chunky Salsa Mild,3.59,24 oz jar | $0.15 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
48,Zucchini Squash,1.66,1 ea | $1.66 / ea,"3115 Lee Hwy., Arlington, VA 22201",Giant
49,Tomatillos,0.37,1 ea | $0.37 / ea,"3115 Lee Hwy., Arlington, VA 22201",Giant
50,Tomatoes on the Vine,0.67,1 ea | $0.67 / ea,"3115 Lee Hwy., Arlington, VA 22201",Giant
51,Avocados Hass,1.25,1 ea | $1.25 / ea,"3450 Washington Blvd., Arlington, VA 22201",Giant
52,Giant Beets Whole,0.99,15 oz can | $0.07 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
53,Nature's Promise Organic Black Beans Low Sodium,0.99,15.5 oz can | $0.06 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
54,Giant 4 Cheese Mexican Blend Finely Shredded Natural,2.0,8 oz bag | $4.00 / lb,"3450 Washington Blvd., Arlington, VA 22201",Giant
55,Giant White Corn Tortillas Soft 6 Inch - 16 ct,0.99,16 oz pkg | $0.06 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
56,Old El Paso Green Chiles Chopped Mild,1.99,7 oz can | $0.28 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
57,Jalapeno Peppers,0.19,1 ea | $0.19 / ea,"3450 Washington Blvd., Arlington, VA 22201",Giant
58,Goya Garbanzos Beans Chick Peas Low Sodium,1.0,15.5 oz can | $0.06 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
59,Masa Brosa Instant Corn Masa,2.59,4 lb bag | $0.04 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
60,Giant Mixed Fruit Large Fresh,5.99,apx 1 lb | $5.99 / lb,"3450 Washington Blvd., Arlington, VA 22201",Giant
61,Bell Peppers Green,0.88,1 ea | $0.88 / ea,"3450 Washington Blvd., Arlington, VA 22201",Giant
62,Glory Foods Pinto Beans Southern Style Seasoned,1.59,15 oz can | $0.11 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
63,Giant White Rice Long Grain Enriched,11.29,20 lb bag | $0.04 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
64,Pace Chunky Salsa Medium,3.59,24 oz jar | $0.15 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
65,Zucchini Squash,1.66,1 ea | $1.66 / ea,"3450 Washington Blvd., Arlington, VA 22201",Giant
66,Tomatillos,0.37,1 ea | $0.37 / ea,"3450 Washington Blvd., Arlington, VA 22201",Giant
67,Tomatoes on the Vine,0.67,1 ea | $0.67 / ea,"3450 Washington Blvd., Arlington, VA 22201",Giant
68,Avocados Hass,1.25,1 ea | $1.25 / ea,"621 East Glebe Road, Alexandria, VA 22305",Giant
69,Giant Beets Sliced No Salt Added,1.49,15 oz jar | $0.10 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
70,Nature's Promise Organic Black Beans Low Sodium,0.99,15.5 oz can | $0.06 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
71,Giant 4 Cheese Mexican Blend Finely Shredded Natural,2.0,8 oz bag | $4.00 / lb,"621 East Glebe Road, Alexandria, VA 22305",Giant
72,Giant Tortilla Chips Restaurant Style 100% White Corn,2.49,13 oz bag | $0.19 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
73,Old El Paso Green Chiles Chopped Mild,1.99,7 oz can | $0.28 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
74,Jalapeno Peppers,0.19,1 ea | $0.19 / ea,"621 East Glebe Road, Alexandria, VA 22305",Giant
75,Goya Garbanzos Beans Chick Peas Low Sodium,1.0,15.5 oz can | $0.06 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
76,Maseca Instant Corn Masa Flour,2.99,4.84 lb bag | $0.04 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
77,Giant Mixed Fruit Large Fresh,5.99,apx 1 lb | $5.99 / lb,"621 East Glebe Road, Alexandria, VA 22305",Giant
78,Bell Peppers Green,0.88,1 ea | $0.88 / ea,"621 East Glebe Road, Alexandria, VA 22305",Giant
79,Goya Prime Premium Pinto Beans,1.0,15.5 oz can | $0.06 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
80,Giant White Rice Long Grain Enriched,11.29,20 lb bag | $0.04 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
81,Pace Chunky Salsa Medium,3.59,24 oz jar | $0.15 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
82,Zucchini Squash,1.66,1 ea | $1.66 / ea,"621 East Glebe Road, Alexandria, VA 22305",Giant
83,Tomatillos,0.37,1 ea | $0.37 / ea,"621 East Glebe Road, Alexandria, VA 22305",Giant
84,Tomatoes on the Vine,0.67,1 ea | $0.67 / ea,"621 East Glebe Road, Alexandria, VA 22305",Giant
85,Avocados Hass,1.25,1 ea | $1.25 / ea,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
86,Giant Beets Sliced No Salt Added,1.49,15 oz jar | $0.10 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
87,Nature's Promise Organic Black Beans Low Sodium,0.99,15.5 oz can | $0.06 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
88,Giant 4 Cheese Mexican Blend Finely Shredded Natural,2.0,8 oz bag | $4.00 / lb,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
89,Giant White Corn Tortillas Soft 6 Inch - 16 ct,0.99,16 oz pkg | $0.06 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
90,Old El Paso Green Chiles Chopped Mild,1.99,7 oz can | $0.28 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
91,Jalapeno Peppers,0.19,1 ea | $0.19 / ea,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
92,Goya Garbanzos Beans Chick Peas Low Sodium,1.0,15.5 oz can | $0.06 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
93,Masa Brosa Instant Corn Masa,2.59,4 lb bag | $0.04 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
94,Giant Mixed Fruit Large Fresh,5.99,apx 1 lb | $5.99 / lb,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
95,Bell Peppers Green,0.88,1 ea | $0.88 / ea,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
96,Goya Pinto Beans Low Sodium,1.0,15.5 oz can | $0.06 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
97,Giant White Rice Long Grain Enriched,11.29,20 lb bag | $0.04 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
98,Pace Chunky Salsa Medium,3.59,24 oz jar | $0.15 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
99,Zucchini Squash,1.66,1 ea | $1.66 / ea,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
100,Tomatillos,0.37,1 ea | $0.37 / ea,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
101,Tomatoes on the Vine,0.67,1 ea | $0.67 / ea,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
102,Fresh Hass Avocado,2.5,1 each  | $2.50,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
103,Fresh Beets,3.49,1 bunch  | $3.49/bunch,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
104,Harris Teeter Black Beans,0.79,15.25 oz  | $0.05/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
105,Highland Crest Shredded Mexican Cheese Blend,2.59,12 oz  | $0.22/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
106,Harris Teeter Corn Tortillas,1.69,30 each  | $0.06,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
107,Harris Teeter Mild Diced Green Chiles,0.79,4 oz  | $0.20/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
108,Fresh Jalapeno Pepper,0.29,2 oz (avg.)  | $2.29/lb,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
109,Harris Teeter Garbanzo Beans,0.79,15.5 oz  | $0.05/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
110,Welch's Fruit Snacks - Mixed Fruit,3.49,10 each  | $0.35,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
111,Fresh Green Bell Pepper,0.99,1 each  | $0.99,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
112,Harris Teeter Pinto Beans,0.79,15.5 oz  | $0.05/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
113,Harris Teeter Long Grain White Rice,2.99,80 oz  | $0.04/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
114,Harris Teeter Salsa - Roasted Cantina Style,2.49,16 oz  | $0.16/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
115,Fresh Zucchini Squash,0.62,5 oz (avg.)  | $1.99/lb,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
116,Fresh Tomatillos,0.16,1 oz (avg.)  | $2.49/lb,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
117,Fresh Roma Tomato,0.43,3 oz (avg.)  | $2.29/lb,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
118,Fresh Hass Avocado,2.5,1 each  | $2.50,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
119,Fresh Beets,3.49,1 bunch  | $3.49/bunch,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
120,Harris Teeter Black Beans,0.79,15.25 oz  | $0.05/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
121,Harris Teeter Fancy Shredded 4 Cheese Blend Mexican Cheese,3.39,8 oz  | $0.42/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
122,Harris Teeter Corn Tortillas,1.69,30 each  | $0.06,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
123,Harris Teeter Mild Diced Green Chiles,0.79,4 oz  | $0.20/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
124,Fresh Jalapeno Pepper,0.29,2 oz (avg.)  | $2.29/lb,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
125,Harris Teeter Garbanzo Beans,0.79,15.5 oz  | $0.05/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
126,Welch's Fruit Snacks - Mixed Fruit,3.49,10 each  | $0.35,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
127,Fresh Green Bell Pepper,0.99,1 each  | $0.99,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
128,Harris Teeter Pinto Beans,0.79,15.5 oz  | $0.05/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
129,Harris Teeter Long Grain White Rice,2.99,80 oz  | $0.04/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
130,Harris Teeter Salsa - Medium,1.99,16 oz  | $0.12/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
131,Fresh Zucchini Squash,0.62,5 oz (avg.)  | $1.99/lb,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
132,Fresh Tomatillos,0.16,1 oz (avg.)  | $2.49/lb,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
133,Fresh Roma Tomato,0.43,3 oz (avg.)  | $2.29/lb,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
134,Fresh Hass Avocado,2.5,1 each  | $2.50,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
135,Fresh Beets,3.49,1 bunch  | $3.49/bunch,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
136,Harris Teeter Black Beans,0.79,15.25 oz  | $0.05/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
137,Harris Teeter Fancy Shredded 4 Cheese Blend Mexican Cheese,3.39,8 oz  | $0.42/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
138,Harris Teeter Corn Tortillas,1.69,30 each  | $0.06,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
139,Harris Teeter Mild Diced Green Chiles,0.79,4 oz  | $0.20/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
140,Fresh Jalapeno Pepper,0.29,2 oz (avg.)  | $2.29/lb,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
141,Harris Teeter Garbanzo Beans,0.79,15.5 oz  | $0.05/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
142,Welch's Fruit Snacks - Mixed Fruit,3.49,10 each  | $0.35,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
143,Fresh Green Bell Pepper,0.99,1 each  | $0.99,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
144,Harris Teeter Pinto Beans,0.79,15.5 oz  | $0.05/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
145,Harris Teeter Long Grain White Rice,2.99,80 oz  | $0.04/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
146,Harris Teeter Salsa - Medium,1.99,16 oz  | $0.12/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
147,Fresh Zucchini Squash,0.62,5 oz (avg.)  | $1.99/lb,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
148,Fresh Tomatillos,0.16,1 oz (avg.)  | $2.49/lb,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
149,Fresh Roma Tomato,0.43,3 oz (avg.)  | $2.29/lb,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
150,Fresh Hass Avocado,2.5,1 each  | $2.50,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
151,Fresh Beets,3.49,1 bunch  | $3.49/bunch,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
152,Harris Teeter Black Beans,0.79,15.25 oz  | $0.05/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
153,Harris Teeter Fancy Shredded 4 Cheese Blend Mexican Cheese,3.39,8 oz  | $0.42/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
154,Harris Teeter Corn Tortillas,1.69,30 each  | $0.06,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
155,Harris Teeter Mild Diced Green Chiles,0.79,4 oz  | $0.20/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
156,Fresh Jalapeno Pepper,0.29,2 oz (avg.)  | $2.29/lb,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
157,Harris Teeter Garbanzo Beans,0.79,15.5 oz  | $0.05/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
158,Welch's Fruit Snacks - Mixed Fruit,3.49,10 each  | $0.35,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
159,Fresh Green Bell Pepper,0.99,1 each  | $0.99,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
160,Harris Teeter Pinto Beans,0.79,15.5 oz  | $0.05/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
161,Harris Teeter Long Grain White Rice,2.99,80 oz  | $0.04/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
162,Harris Teeter Salsa - Medium,1.99,16 oz  | $0.12/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
163,Fresh Zucchini Squash,0.62,5 oz (avg.)  | $1.99/lb,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
164,Fresh Tomatillos,0.16,1 oz (avg.)  | $2.49/lb,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
165,Fresh Roma Tomato,0.43,3 oz (avg.)  | $2.29/lb,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
166,Fresh Hass Avocado,2.5,1 each  | $2.50,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
167,Fresh Beets,3.49,1 bunch  | $3.49/bunch,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
168,Harris Teeter Black Beans,0.79,15.25 oz  | $0.05/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
169,Highland Crest Shredded Mexican Cheese Blend,2.59,12 oz  | $0.22/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
170,Harris Teeter Corn Tortillas,1.69,30 each  | $0.06,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
171,Harris Teeter Diced Tomatoes with Green Chilies,0.69,10 oz  | $0.07/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
172,Fresh Jalapeno Pepper,0.29,2 oz (avg.)  | $2.29/lb,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
173,Harris Teeter Garbanzo Beans,0.79,15.5 oz  | $0.05/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
174,Harris Teeter Mixed Fruit - Frozen,9.99,48 oz  | $0.21/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
175,Fresh Green Bell Pepper,0.99,1 each  | $0.99,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
176,Harris Teeter Pinto Beans,0.79,15.5 oz  | $0.05/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
177,Harris Teeter Long Grain White Rice,2.99,80 oz  | $0.04/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
